station_id,name,category,distance,rating,review_count,price
18,Sallvattore,restaurants,149,4.3,6,3
18,My Temaki,restaurants,146,4.3,8,2
18,Loup Restaurante,restaurants,236,5.0,3,0
18,Sassá Sushi,restaurants,225,3.8,9,3
18,Sakeria,restaurants,92,3.5,2,1
18,Espírito Santo,restaurants,221,3.7,6,3
18,Matriz Mineira,restaurants,137,5.0,1,2
18,Red Steak & Burger,restaurants,130,3.0,2,3
18,M e M Patisserie e Café,bakeries,190,0.0,0,0
119,Praça São Lourenço,restaurants,206,4.3,18,3
119,Corleone Barbeer,restaurants,122,5.0,2,2
119,Sterna Café,restaurants,178,5.0,2,1
119,99 Bar,restaurants,92,1.0,1,0
119,La Piadina,restaurants,261,4.0,1,3
119,Lanchão Vila Olímpia,restaurants,100,0.0,0,1
119,Pavão Bar e Restaurante,restaurants,151,4.5,2,0
119,Asia House,restaurants,117,0.0,0,0
119,Dominos Pizza,restaurants,94,0.0,0,0
119,Perereca da Vizinha,restaurants,100,0.0,0,0
119,Padaria Villa Imperial,bakeries,155,5.0,1,0
119,Panificadora Santa Olímpia,bakeries,152,3.0,2,0
3,Terracinho,restaurants,73,4.0,1,0
3,Sushikon,restaurants,105,4.0,1,0
3,Tiella,restaurants,105,3.5,2,0
3,Aro 27,restaurants,124,3.3,3,1
3,Santo Gusto Restaurante,restaurants,118,0.0,0,0
3,Eco House,restaurants,201,0.0,0,0
3,Check In Falafel,restaurants,201,3.0,1,0
3,Churrascaria Simpatia Gaúcha,restaurants,152,0.0,0,0
3,Restaurante Comaki,restaurants,162,0.0,0,0
3,Restaurante da Gosto,restaurants,221,0.0,0,0
307,O Batidão,restaurants,25,3.7,3,0
307,Bagdá Café,restaurants,29,0.0,0,0
307,Casa Frios Gijo,restaurants,53,5.0,1,0
307,Demoro Self Service,restaurants,79,0.0,0,0
307,Lanchinho,restaurants,67,0.0,0,0
307,Panda,restaurants,131,5.0,1,0
307,Mpa Produtos Alimentícios,restaurants,120,0.0,0,0
307,Okubo Akira,restaurants,145,0.0,0,0
307,Lanchonete e Pizzaria Dincao Felicita,restaurants,149,0.0,0,0
307,Casa Velha,restaurants,194,0.0,0,0
307,Boutique de Bolachas,coffee,158,3.0,1,0
307,Panificadora Mafra,bakeries,169,0.0,0,0
194,Jardim di Napoli,restaurants,132,4.4,27,2
194,Rota do Acarajé,restaurants,139,4.1,17,2
194,Santo Grão,restaurants,235,4.4,9,1
194,Lanchonete New York,restaurants,19,0.0,0,0
194,Frutos do Mar Prainha,restaurants,137,4.0,1,2
194,Via Castelli,restaurants,172,5.0,1,2
194,Jardim de Nápoli,restaurants,235,4.5,2,3
194,Restaurante Barão,restaurants,130,0.0,0,2
194,Nova Barão,restaurants,96,0.0,0,0
194,Giacomo,restaurants,199,2.5,2,2
194,Santo Grão,coffee,235,4.4,9,1
194,TeaHub,coffee,175,0.0,0,0
194,Lord Pães e Doces,bakeries,56,4.0,1,0
194,La Bucai,bakeries,133,5.0,1,3
194,Havanna Café,bakeries,164,0.0,0,2
154,Cantina Dangelo,restaurants,181,4.5,2,4
154,Café Revistaria Inglez,restaurants,112,0.0,0,0
154,Kiosque Express Disk Pizza,restaurants,150,0.0,0,0
154,Bar e Lanches Leve,restaurants,151,0.0,0,0
154,Paes e Doces Humaitá,bakeries,146,0.0,0,0
154,Central São Joaquim Panificadora,bakeries,139,0.0,0,0
154,Novaes Washington A,bakeries,155,0.0,0,0
629,Restaurante Varandinha,restaurants,47,4.2,5,3
629,Gioconda Heleniká,restaurants,84,4.8,4,2
629,Mexicaníssimo,restaurants,170,3.9,15,2
629,Angeline - Berrini,restaurants,41,4.0,2,0
629,Rango's,restaurants,38,3.7,3,0
629,Le Pastel,restaurants,13,4.0,1,0
629,Torniamo Restaurante,restaurants,85,3.5,6,2
629,café.combiscoito,restaurants,22,3.0,1,0
629,Kii Cozinha Japonesa,restaurants,85,4.0,2,0
629,Banana's Juice,restaurants,149,4.0,3,1
629,Starbucks,coffee,58,3.0,4,2
629,Dolce Perfetto Comércio Doces,bakeries,246,5.0,1,0
15,Rufino's,restaurants,181,4.4,14,4
15,Empório Santa Maria,restaurants,86,4.2,11,2
15,PÃO,restaurants,49,0.0,0,0
15,Consulado Mineiro,restaurants,116,4.3,3,0
