station_id,name,category,distance,rating,review_count,price,latitude,longitude,free_bikes
102,Armazém Morumbi,restaurants,181,4.5,2,0,-23.6118685865358,-46.694953329576,10
102,Segredo dos Pães,restaurants,197,3.0,1,0,-23.6118685865358,-46.694953329576,10
102,Galpão Restaurante,restaurants,172,3.5,2,1,-23.6118685865358,-46.694953329576,10
102,Panificadora União Fialense,bakeries,102,4.0,1,2,-23.6118685865358,-46.694953329576,10
102,Segredo dos Pães,bakeries,197,3.0,1,0,-23.6118685865358,-46.694953329576,10
435,Sarumon,restaurants,159,4.8,8,2,-23.581559891340504,-46.67270008886336,1
435,Hecho En México,restaurants,225,3.5,26,2,-23.581559891340504,-46.67270008886336,1
435,Le Bou,restaurants,164,4.3,3,2,-23.581559891340504,-46.67270008886336,1
435,Barbearia Corleone,restaurants,184,4.0,2,3,-23.581559891340504,-46.67270008886336,1
435,Gastroarte,restaurants,179,5.0,1,0,-23.581559891340504,-46.67270008886336,1
435,Renato 167,restaurants,240,4.0,1,0,-23.581559891340504,-46.67270008886336,1
435,Restaurante Brunetto,restaurants,181,3.0,1,0,-23.581559891340504,-46.67270008886336,1
435,Panificadora e Rotisserie Lareira,bakeries,164,4.0,1,1,-23.581559891340504,-46.67270008886336,1
474,Al Árabe,restaurants,219,4.4,7,2,-23.568702,-46.687872,0
474,Aya Japanese Cuisine,restaurants,73,3.7,6,0,-23.568702,-46.687872,0
474,Sushibol,restaurants,96,3.8,6,2,-23.568702,-46.687872,0
474,Alshekh,restaurants,198,4.6,7,1,-23.568702,-46.687872,0
474,Maria Gourmet,restaurants,103,4.3,7,1,-23.568702,-46.687872,0
474,Taberna 474,restaurants,159,4.3,4,3,-23.568702,-46.687872,0
474,La Trattoria Cantina Italiana,restaurants,176,4.5,4,2,-23.568702,-46.687872,0
474,Holy Crepe,restaurants,139,3.8,5,1,-23.568702,-46.687872,0
474,Bella mari,restaurants,200,4.3,4,2,-23.568702,-46.687872,0
474,Rosmarino,restaurants,135,4.7,3,3,-23.568702,-46.687872,0
87,Spot,restaurants,139,4.2,46,3,-23.560031477862115,-46.65778968894957,0
87,Hakka Sushi,restaurants,100,3.9,17,4,-23.560031477862115,-46.65778968894957,0
87,Starbucks,restaurants,243,3.9,17,1,-23.560031477862115,-46.65778968894957,0
87,Mate Por Favor,restaurants,257,4.6,10,1,-23.560031477862115,-46.65778968894957,0
87,Pirajá,restaurants,195,4.3,7,2,-23.560031477862115,-46.65778968894957,0
87,A Griffe do Filé Magnon,restaurants,150,4.3,4,1,-23.560031477862115,-46.65778968894957,0
87,La Arena Parrilla,restaurants,120,5.0,2,0,-23.560031477862115,-46.65778968894957,0
87,Manteigaria Lisboa,restaurants,194,3.6,7,1,-23.560031477862115,-46.65778968894957,0
87,Bob's,restaurants,84,3.0,4,1,-23.560031477862115,-46.65778968894957,0
87,Rei do Mate,coffee,161,4.0,2,1,-23.560031477862115,-46.65778968894957,0
87,Café do Ponto,coffee,258,4.5,2,2,-23.560031477862115,-46.65778968894957,0
87,Xodó da Paulista Restaurante e Lanches,bakeries,113,4.2,10,2,-23.560031477862115,-46.65778968894957,0
87,Manteigaria Lisboa,bakeries,194,3.6,7,1,-23.560031477862115,-46.65778968894957,0
87,Empório Arte Nata,bakeries,204,4.0,1,2,-23.560031477862115,-46.65778968894957,0
248,Lanchonete das Letras - Usp,restaurants,51,4.0,2,0,-23.5625149269804,-46.722825563147,6
248,Barraquinha da Sociais,restaurants,159,4.7,3,0,-23.5625149269804,-46.722825563147,6
248,Restaurante da Poli,restaurants,160,4.0,1,0,-23.5625149269804,-46.722825563147,6
248,Restaurante da História e Geografia,restaurants,163,2.5,2,0,-23.5625149269804,-46.722825563147,6
248,Scooby Dog,restaurants,163,3.0,1,0,-23.5625149269804,-46.722825563147,6
59,Hirá Ramen Izakaya,restaurants,205,4.2,23,2,-23.5561973682702,-46.6926703781386,0
59,Tuju,restaurants,200,4.1,21,4,-23.5561973682702,-46.6926703781386,0
59,Chez Mom,restaurants,69,4.4,9,1,-23.5561973682702,-46.6926703781386,0
59,Umai,restaurants,15,4.0,4,0,-23.5561973682702,-46.6926703781386,0
59,Empanadas Bar,restaurants,122,3.8,17,1,-23.5561973682702,-46.6926703781386,0
59,Ruaa,restaurants,216,4.2,13,2,-23.5561973682702,-46.6926703781386,0
59,Villa Grano,restaurants,117,3.5,15,2,-23.5561973682702,-46.6926703781386,0
59,L'Aperô,restaurants,42,2.0,2,0,-23.5561973682702,-46.6926703781386,0
59,Go Dog,restaurants,169,4.4,5,2,-23.5561973682702,-46.6926703781386,0
59,Sushi Da Villa,restaurants,69,5.0,1,0,-23.5561973682702,-46.6926703781386,0
59,Coffee Lab,coffee,140,4.6,94,2,-23.5561973682702,-46.6926703781386,0
59,Café Moreno,coffee,60,3.0,1,1,-23.5561973682702,-46.6926703781386,0
297,Bawarchi,restaurants,78,3.9,17,2,-23.5819406080888,-46.6428930721909,3
297,Ajissai,restaurants,133,4.4,12,2,-23.5819406080888,-46.6428930721909,3
297,Restaurante Huang,restaurants,193,4.3,8,1,-23.5819406080888,-46.6428930721909,3
297,Green Dog,restaurants,71,5.0,1,0,-23.5819406080888,-46.6428930721909,3
297,Dona Tapioca,restaurants,77,4.5,2,1,-23.5819406080888,-46.6428930721909,3
297,Lanchonete Bom Jesus V,restaurants,61,3.0,1,0,-23.5819406080888,-46.6428930721909,3
297,Coffee Bean,restaurants,122,5.0,1,1,-23.5819406080888,-46.6428930721909,3
297,Restaurante Yan Shan,restaurants,202,5.0,1,0,-23.5819406080888,-46.6428930721909,3
297,Fran's Café,restaurants,201,4.0,2,2,-23.5819406080888,-46.6428930721909,3
297,Discoteka Cultural,coffee,77,4.0,1,2,-23.5819406080888,-46.6428930721909,3
405,Café Girondino,restaurants,69,4.1,30,2,-23.54402567,-46.63454504,12
405,Hocca Bar,restaurants,239,4.7,26,2,-23.54402567,-46.63454504,12
405,Salve Jorge,restaurants,180,4.3,14,2,-23.54402567,-46.63454504,12
405,Pedrinho Hot Dog,restaurants,97,4.4,5,0,-23.54402567,-46.63454504,12
405,Café São Bento,restaurants,52,4.0,2,0,-23.54402567,-46.63454504,12
